report_number,driver_at_fault,speed_limit,vehicle_year
MCP2496002L,Yes,25,2019
MCP2496002L,No,25,2016
DD56440010,Yes,40,2000
DD56440010,No,40,2013
MCP3010005M,Yes,30,2010
MCP3010005M,No,30,1998
MCP2498001C,No,35,2014
MCP2498001C,Yes,35,2005
MCP2971005N,No,40,2007
MCP2971005N,Yes,40,2011
MCP2723005H,No,35,2008
MCP2723005H,Yes,35,2018
MCP3289000V,No,25,2017
MCP3289000V,Yes,25,2005
MCP31970025,Yes,30,2016
MCP31970025,No,30,2004
MCP32260017,No,40,2018
MCP32260017,Yes,40,2011
MCP32260017,No,40,2013
MCP26740029,No,30,2002
MCP26740029,Yes,30,2003
MCP31170035,Yes,35,2016
MCP31170035,Yes,35,2004
MCP2750005J,Yes,30,2012
MCP2750005J,No,30,2004
MCP242500GT,Yes,55,2017
MCP242500GT,No,55,2021
MCP242500GT,No,55,2018
DD5620006P,Yes,25,2016
DD5620006P,No,35,2013
MCP115100CF,Yes,35,2014
MCP115100CF,No,35,2003
MCP2411006N,Yes,5,2010
MCP3264001K,Yes,35,2016
MCP3264001K,No,35,2009
MCP3048006V,Yes,25,2018
MCP102200FN,Yes,35,2005
MCP102200FN,No,35,2007
MCP9386008C,Yes,25,2011
MCP263900BY,Yes,15,2016
MCP2689007H,Yes,25,2012
MCP209400H9,Yes,5,2013
MCP2969009Y,No,40,2018
MCP2969009Y,No,40,2010
MCP2969009Y,Yes,40,2013
MCP1595001D,Yes,20,2008
MCP2539001M,Yes,25,2013
MCP3122003Y,Yes,25,2017
MCP3191002D,No,40,2014
MCP3191002D,Yes,40,2016
MCP3284000M,Yes,25,2003
MCP3218001J,No,25,2014
MCP3218001J,Yes,25,2010
MCP2939005J,Yes,30,2017
MCP137800X0,No,30,2020
MCP137800X0,Yes,30,2021
MCP3191002C,Yes,40,2004
MCP3191002C,No,40,2014
MCP229800WR,Yes,30,2021
MCP211600D1,Yes,15,2007
MCP2969009X,No,40,2006
MCP2969009X,No,40,2016
MCP2969009X,No,40,2015
MCP2969009X,Yes,40,2017
MCP158000DS,No,35,2017
MCP158000DS,Yes,35,2016
MCP30260068,Yes,35,2021
MCP30260068,No,35,2016
MCP3016002Z,No,35,2019
MCP3016002Z,Yes,35,2011
MCP23480061,Unknown,35,2012
MCP23480061,Unknown,35,2020
MCP23480061,Unknown,35,2004
MCP2278003B,No,30,2012
MCP2278003B,Yes,35,2011
MCP2182002L,Yes,40,0
MCP2182002L,No,40,2019
MCP23580087,Yes,25,2018
EJ786600B5,Yes,50,2010
EJ786600B5,No,50,2015
MCP2311006V,No,35,2007
MCP2311006V,Yes,35,2016
MCP30420030,No,15,2007
MCP30420030,Yes,15,2015
DD5623002H,Yes,25,2018
MCP3053004F,No,20,2016
MCP3053004F,Yes,20,0
MCP9318001G,Yes,40,2009
MCP9318001G,No,40,2021
MCP2399004F,No,35,2006
MCP2399004F,Yes,35,2016
DD5647000R,Yes,35,2012
DD5647000R,No,35,2011
EJ7878002K,Yes,25,2002
MCP3285000W,No,30,2009
MCP3285000W,Yes,30,2015
MCP23580086,Yes,35,2013
MCP23580086,No,35,2016
MCP30260066,No,35,2011
MCP30260066,Yes,35,0
MCP2445002F,Yes,40,2008
MCP2445002F,No,40,2013
MCP3285000V,Yes,35,2013
MCP2001001J,Yes,35,2018
MCP2001001J,No,35,2018
MCP2675002V,Yes,25,2010
MCP3053004D,No,20,2021
MCP3053004D,Yes,20,2021
MCP3095002M,No,35,2005
MCP3095002M,Yes,5,2015
EJ78800011,Yes,10,2012
MCP26070058,No,40,2018
MCP26070058,No,40,2014
MCP26070058,Yes,40,2020
MCP2917007L,Yes,40,2003
MCP2917007L,No,40,2017
MCP21950046,No,40,2018
MCP21950046,Yes,40,2014
MCP22780039,Yes,25,2015
MCP23580085,Yes,15,2018
MCP3109005D,Unknown,35,2012
MCP3109005D,Unknown,35,2016
MCP2859009X,No,25,2013
MCP2859009X,Yes,25,2017
MCP27370050,Yes,40,2018
MCP3053004B,Yes,20,2021
MCP2675002T,Yes,5,2017
MCP2675002T,No,5,2018
MCP2737004Z,Yes,45,1997
MCP2737004Z,No,45,2009
MCP28570038,Yes,55,2012
MCP3000003F,Yes,5,2009
MCP3000003F,No,5,2016
EJ7886000J,Yes,25,2014
EJ7878002J,Unknown,10,2002
EJ7878002J,Unknown,10,2012
MCP3124003Z,Yes,35,2016
MCP3079003J,Yes,10,2006
MCP3079003J,No,10,2009
DM8423002G,Yes,25,2011
MCP2866006Q,Yes,25,2004
DM8423002G,No,25,2013
MCP3276000W,No,35,2016
MCP3276000W,Yes,35,2010
MCP2722003T,Yes,50,2015
MCP2722003T,No,50,2006
MCP2009001R,Yes,30,2018
MCP2009001R,No,30,2012
EJ7873003T,Yes,5,2004
EJ7873003T,No,5,2015
MCP2569001R,Yes,25,2019
MCP30060064,Yes,35,2012
MCP30060064,No,35,2015
MCP31130034,No,30,2007
MCP31130034,Yes,30,2019
MCP06850065,No,30,2011
MCP06850065,No,35,2016
MCP06850065,Yes,35,2019
MCP32110027,No,45,2009
MCP32110027,Yes,45,2004
MCP20470041,Yes,40,2012
MCP3268000T,No,20,2011
MCP3268000T,Yes,25,2004
MCP2720005K,Yes,25,2021
MCP2899004R,Yes,50,2020
MCP3257001Q,Yes,25,0
MCP2899004Q,No,25,2007
MCP2899004Q,Yes,25,2019
MCP3257001P,Yes,35,2019
MCP3257001P,No,35,2019
MCP3163003B,Yes,5,2015
MCP26740028,No,30,2014
MCP26740028,No,40,1998
MCP26740028,Yes,40,2000
MCP26740028,No,30,2016
EJ7884001T,No,35,2016
MCP2982003Y,Unknown,35,2003
MCP2982003Y,Unknown,35,2008
MCP3148002Z,Yes,30,2010
MCP3079003H,No,40,2006
MCP3079003H,Yes,40,2018
MCP2686004S,Unknown,25,2014
MCP27830041,Yes,35,2018
MCP27830041,No,35,2018
MCP32450016,Yes,35,2004
MCP32290010,Yes,30,2016
MCP32290010,No,30,2019
MCP30690056,Yes,35,1999
MCP30690056,No,35,2019
MCP2971005M,Yes,25,2016
MCP3029003B,Yes,55,2011
MCP3029003B,No,55,2003
MCP3022003R,No,0,2021
MCP3022003R,Yes,30,2000
MCP31950023,No,5,2013
MCP31950023,Yes,5,2013
MCP1048005J,Yes,10,2019
MCP3034004J,Yes,25,2014
MCP3034004J,No,25,2013
MCP2353008X,No,35,2015
MCP2353008X,Yes,25,2018
MCP2969009W,Yes,25,2017
MCP158000DR,No,45,2018
MCP158000DR,No,45,2005
MCP158000DR,No,45,2001
MCP158000DR,Yes,45,2018
MCP30690054,No,35,2017
MCP30690054,Yes,35,2005
MCP93790033,Yes,40,2019
DD56280043,Yes,30,2017
DD56280043,No,30,2019
MCP2750005H,Yes,35,2016
EJ78050017,No,40,2013
EJ78050017,Yes,40,2014
MCP3215001M,Yes,25,2019
MCP3274000N,Yes,35,2015
MCP3208001M,Yes,40,2012
MCP3208001M,No,40,2012
MCP2043001Y,No,20,2016
MCP2043001Y,Yes,20,0
EJ7882000W,Yes,5,2017
MCP2861004S,No,45,2015
EJ7875001V,No,30,2014
EJ7875001V,Yes,30,2019
MCP3283000L,Yes,5,2002
MCP2866006P,Yes,35,2002
MCP2866006P,No,35,2016
MCP2438002W,No,30,2006
MCP2438002W,Yes,30,2015
MCP31640049,Yes,5,2018
MCP2845007M,Yes,40,2017
MCP31210041,No,30,2004
MCP31210041,Yes,30,2007
MCP2837003T,Yes,40,2013
MCP2837003T,No,40,2010
MCP2182002K,Unknown,35,2005
MCP2182002K,Unknown,35,1994
MCP20470040,No,40,2018
MCP20470040,Yes,40,2021
MCP1174004T,No,25,2017
MCP1174004T,Yes,25,2015
MCP2726005H,Yes,40,2000
MCP2726005H,No,40,2000
MCP2969009V,Unknown,25,2017
MCP2969009V,Unknown,45,2009
MCP3215001L,Yes,35,2008
MCP3215001L,No,35,2020
DD56280042,Yes,40,2020
MCP3165002N,Yes,20,2019
MCP211600D0,Yes,40,2004
DD5638002K,No,40,2020
DD5638002K,Yes,40,2013
MCP3122003X,Yes,35,0
MCP2816002T,No,40,2002
MCP2816002T,Yes,25,2019
MCP2539001L,Yes,35,2014
DD5637002C,Yes,30,2007
MCP31170034,Yes,40,2012
MCP31170034,No,40,2017
MCP3148002Y,Unknown,35,2021
MCP3148002Y,Unknown,35,2016
MCP2635006K,No,30,2010
MCP2635006K,Yes,30,2019
MCP31380033,Yes,30,2004
MCP31380033,No,30,2010
MCP31380033,No,30,2019
MCP3209002J,Yes,25,2002
MCP3288000T,No,30,2018
MCP3288000T,Yes,30,2005
MCP31970024,Yes,25,2007
MCP3111003F,No,35,2017
MCP3111003F,Yes,35,2015
MCP3111003F,Yes,35,2010
MCP3111003F,No,35,2016
MCP243600C8,No,25,2019
MCP243600C8,Yes,25,2017
MCP3291000K,Yes,30,2018
MCP3153002Q,Yes,30,2021
MCP3153002P,No,30,2021
MCP3153002P,Yes,30,2001
MCP3153002P,No,30,2016
MCP3153002Q,No,30,2016
DD5633005C,Yes,25,2017
MCP263900BX,Yes,25,2020
MCP3099002R,Yes,40,2017
MCP3099002R,No,40,2018
MCP06850063,No,40,2014
MCP06850063,Yes,40,2014
MCP263900BW,Yes,25,2020
EJ7887000D,No,30,2015
EJ7887000D,Yes,45,2018
MCP3274000L,Yes,30,2016
MCP3274000L,No,30,2014
MCP09420034,No,25,0
MCP09420034,Yes,25,2016
MCP2496002J,Yes,35,2018
MCP2496002J,No,35,2017
MCP2496002J,No,35,2015
MCP3282000J,Yes,30,2015
MCP3282000J,No,30,2008
DD5644000Y,Yes,25,0
DD5610006G,Yes,5,2016
MCP3122003W,Yes,40,2013
MCP3122003W,No,40,2014
MCP3122003W,No,25,2008
MCP3280000J,Yes,25,2014
MCP3280000J,No,25,2016
MCP21080017,Yes,45,2016
MCP21080017,No,45,2021
MCP20820028,Yes,0,2007
MCP32390018,Yes,45,2006
DD5631003V,Yes,40,2006
DD5631003V,No,40,2012
EJ7879001D,Yes,30,0
EJ7879001D,No,30,2008
MCP3287000P,Yes,40,2019
MCP3107001K,Yes,30,2012
MCP3208001L,No,35,2015
MCP3208001L,Yes,35,2017
MCP3198002V,No,35,2009
MCP3198002V,Yes,35,2011
MCP3198002V,No,35,2019
MCP3198002V,No,35,2014
MCP3262000X,No,45,2012
MCP3262000X,Yes,45,2017
MCP3124003Y,No,25,2013
MCP3124003Y,Yes,25,2008
MCP30690052,No,35,2004
MCP30690052,Yes,35,2016
MCP26370041,No,40,2020
MCP26370041,Yes,40,2012
MCP1174004S,Yes,0,2017
MCP2714001W,Yes,25,2017
MCP20550032,No,25,2019
MCP3108001H,Yes,25,2011
MCP3124003X,Yes,25,0
MCP1048005H,Yes,35,2016
MCP1048005H,No,35,2015
EJ7888000G,Yes,25,2019
EJ7888000G,No,25,2018
MCP23470030,Yes,40,2018
MCP23470030,Yes,40,2009
MCP2496002K,No,35,2013
MCP2496002K,Yes,35,2018
MCP2008008B,Unknown,55,2011
MCP3176001B,Yes,25,2011
MCP3176001B,No,25,2020
MCP3036001S,Yes,30,2016
MCP32380012,Yes,35,2011
MCP32380012,No,35,2002
MCP2800004D,Yes,25,2008
EJ78810011,No,25,2007
EJ78810011,Yes,25,1998
MCP3232001V,Yes,30,2016
MCP3232001V,No,30,2018
MCP3198002T,No,35,2013
MCP3233001F,No,30,2009
MCP3276000T,Yes,35,2017
MCP28970024,Yes,40,2006
MCP28970024,No,40,2013
MCP263900BV,Yes,35,2020
MCP21950045,Yes,15,2021
MCP30690058,Yes,35,2017
HA23860013,Yes,15,2019
MCP22780038,No,25,2004
MCP22780038,Yes,25,2006
MCP0617002W,Yes,40,2011
MCP3035002T,No,35,2021
MCP3035002T,Yes,15,2016
MCP2737004Y,Yes,45,1999
MCP3280000H,Yes,25,2011
MCP3271000X,Yes,25,2017
MCP3271000X,No,45,2013
MCP2939005G,Yes,30,2013
MCP3198002S,Yes,35,2000
MCP3198002S,No,35,2006
MCP3233001D,No,30,2017
MCP3233001D,Yes,35,2001
DD5649000G,Yes,15,2005
DD5649000G,No,15,2008
MCP3161002R,No,25,2013
MCP3276000S,No,25,2004
MCP3276000S,Yes,25,2011
MCP2939005F,Yes,30,2012
MCP2939005F,No,30,2018
MCP2939005H,No,15,2014
MCP3232001T,Yes,35,2005
MCP3259001B,Yes,40,2009
MCP3259001B,No,40,2018
MCP3232001T,No,35,2002
MCP3232001T,No,35,2010
MCP23510043,Yes,25,2017
MCP23510043,No,25,2018
DD56430018,No,35,2021
DD56430018,Yes,35,2018
DD56430018,No,35,1988
MCP27300023,No,40,2008
MCP27300023,No,40,2016
MCP27300023,No,40,2013
MCP2603003J,No,35,2012
MCP2603003J,Yes,35,2016
MCP3178002L,Unknown,30,2014
MCP3178002L,Unknown,30,2002
MCP30230042,Yes,45,2014
MCP30230042,No,45,2006
MCP31360046,Yes,5,2016
MCP3084004L,Yes,30,2012
MCP2622002K,No,45,2007
MCP2622002K,Yes,45,2016
MCP2534003G,Yes,30,2019
MCP2850001R,Yes,35,2017
MCP2850001R,No,35,2014
MCP2850001R,No,35,2017
MCP2850001R,No,35,2018
MCP3171001J,Yes,25,2016
MCP30600031,Yes,35,2010
MCP30600031,No,0,2018
EJ7836002P,Yes,30,2006
EJ7836002P,Yes,30,2008
MCP32220010,Yes,35,2020
MCP32220010,No,35,2011
MCP2967004S,Yes,25,2018
MCP27830040,Yes,15,2002
MCP2475005Y,No,40,2017
MCP2475005Y,Yes,40,2020
MCP2888001P,Yes,40,2019
MCP3256000T,No,40,2010
MCP3256000T,Yes,40,2015
MCP3256000V,Yes,35,2015
HA2484000C,No,40,2017
MCP26740027,Yes,30,2020
MCP28920098,Yes,35,2014
MCP28920098,No,35,2020
MCP3262000W,Yes,35,2015
MCP3262000W,No,35,2015
MCP3229000Z,Yes,35,1995
MCP3229000Z,No,35,2014
MCP3229000Z,No,35,2021
MCP3229000Z,Yes,35,2016
MCP3229000Z,No,35,2015
MCP3022003Q,No,50,2008
MCP3022003Q,Yes,15,2018
MCP29920035,Yes,10,2012
MCP2844004Y,No,35,2010
MCP2844004Y,Yes,25,2002
MCP2936004G,No,25,2011
MCP2936004G,Yes,25,2004
MCP2765005P,Yes,25,2011
MCP2765005P,No,40,2012
MCP3283000K,Yes,25,2009
MCP31170032,Yes,40,2019
MCP3283000K,No,25,2019
MCP31170032,No,40,2017
DD5595009K,Yes,25,2001
MCP3178002J,Yes,15,2019
MCP3178002J,No,15,2007
MCP2411006K,No,35,2014
MCP2411006K,Yes,35,2019
DD5642001Z,Yes,5,2016
HA2483000G,Yes,30,2003
HA2483000G,No,30,2010
MCP23850024,Yes,40,2019
MCP3261000L,Yes,25,2003
MCP3253000W,Yes,25,2011
MCP32130010,Yes,35,2015
MCP31760019,Yes,10,0
DM8493000J,No,30,2019
DM8493000J,Yes,30,2002
MCP3212002H,Yes,5,2003
MCP3212002H,No,0,2007
MCP003600F9,Yes,30,2013
MCP003600F9,No,30,2015
MCP2899004P,Yes,35,2019
MCP2899004P,No,25,2020
MCP3279000L,Yes,45,2013
MCP3279000L,No,0,2006
MCP3283000J,No,25,2015
EJ7871004H,Yes,25,2006
EJ7871004H,No,0,2017
MCP2475005W,Yes,40,2009
MCP2475005W,No,40,2017
MCP2475005W,No,40,2021
MCP3129002Q,Yes,30,2014
MCP3129002Q,No,30,2014
DM8423002F,No,15,2014
DM8423002F,Yes,15,2010
MCP3284000K,No,35,2006
MCP30690050,No,35,2013
MCP30690050,No,35,2017
MCP30690050,No,35,2015
MCP30690050,Yes,35,2019
MCP32170011,Yes,30,2003
MCP32170011,No,30,2006
MCP31970023,No,35,2021
MCP31970023,Yes,35,2019
MCP2967004R,Yes,35,2019
MCP3284000J,No,45,2016
MCP3284000J,Yes,45,2018
DD5645000Z,No,30,2019
DD5645000Z,Yes,30,2020
MCP2102002N,Yes,30,2012
MCP2102002N,No,30,2014
MCP1182003H,Yes,10,2019
DM85000003,Yes,20,2008
MCP1465005J,No,25,2021
MCP1465005J,Yes,0,2020
MCP06130025,Yes,0,2019
MCP15640056,Yes,30,2021
MCP15640056,No,30,2006
DM8423002D,Yes,25,2018
MCP2496002H,Yes,35,2009
MCP2496002H,No,35,1999
MCP2394004C,Yes,5,2014
MCP2881003L,No,45,2019
MCP2881003L,Yes,45,2000
DD56360046,Yes,35,2017
MCP2967004Q,No,35,2003
MCP2967004Q,Yes,35,2011
MCP2475005S,Yes,40,2006
MCP2475005S,No,40,1994
MCP2583001H,Yes,30,2021
MCP2583001H,No,30,2016
MCP32260016,No,45,2019
MCP32260016,Yes,45,2020
MCP3019003K,No,40,0
MCP3019003K,Yes,40,2021
MCP31800024,Yes,40,2011
DM8476001Y,No,5,2006
DM8476001Y,Yes,5,2015
MCP2723005F,Yes,25,2017
MCP2919007Z,Yes,35,2015
MCP2919007Z,No,35,2013
MCP3272000R,No,35,2007
MCP3272000R,Yes,35,2020
MCP3119002T,Yes,35,2013
MCP3119002T,No,35,2015
EJ78560096,Yes,15,2015
MCP3111003C,No,30,2020
MCP3111003C,Yes,30,2019
EJ7885000S,Unknown,25,2013
EJ7885000S,Unknown,25,2019
MCP94280037,Yes,40,2008
DD5620006M,Yes,35,2012
DD5620006M,No,35,2016
MCP29910053,No,45,2007
MCP29910053,Yes,45,2009
MCP3277000Q,Yes,20,0
MCP3052002K,No,5,2012
MCP3052002K,Yes,5,2020
MCP3017001L,Yes,30,2015
EJ7879001B,Yes,5,2017
MCP2919007Y,No,25,1998
MCP2919007Y,Yes,25,2007
MCP3283000H,No,40,2003
MCP3283000H,Yes,40,2014
EJ7879001C,No,5,2017
EJ7879001C,Yes,5,2020
MCP31800023,No,30,2019
MCP31800023,Yes,30,2008
MCP3284000H,No,0,2017
MCP3284000H,Yes,35,2002
MCP31970022,No,35,2013
MCP31970022,No,35,2013
MCP31970022,No,35,2011
MCP31970022,Yes,35,2008
MCP3218001H,Yes,25,2016
EJ7889000L,No,40,2002
EJ7889000L,Yes,40,2016
DD5644000V,No,35,1993
DD5644000V,Yes,35,2020
MCP32540013,Yes,45,2013
MCP32540013,No,45,2020
MCP3291000J,Yes,20,2010
MCP1354001K,No,50,2018
MCP25920022,No,30,2001
MCP25920022,Yes,30,2017
MCP3208001K,Yes,30,2000
MCP3289000R,No,40,2013
MCP3289000R,No,40,2009
MCP3289000R,Yes,40,2012
MCP3285000T,Yes,5,2006
MCP3285000T,No,0,2014
MCP30800031,No,45,2006
MCP30800031,Yes,40,2015
MCP3256000S,Yes,0,2013
MCP32300021,No,45,2021
MCP2917007K,Yes,40,2014
MCP2917007K,No,40,2008
MCP1213005M,No,30,2013
MCP1213005M,Yes,30,2018
MCP31120051,Yes,0,2020
MCP26560054,No,40,2015
MCP26560054,Yes,40,2020
MCP2356001T,Yes,15,2013
MCP271700TZ,No,35,2014
MCP271700TZ,Yes,35,2019
MCP20400023,Yes,50,2018
MCP158000DQ,No,40,2009
MCP158000DQ,Yes,40,2008
MCP3256000R,Yes,0,2022
MCP2347002Z,Yes,40,2007
MCP2347002Z,No,40,2007
MCP2347002Z,Yes,40,2006
MCP2622002J,Yes,45,2020
MCP2622002J,No,45,2012
DD5620006L,No,5,2019
HA24790008,No,25,2008
HA24790008,Yes,25,2012
MCP2445002C,Yes,30,2001
MCP2594006M,No,35,2000
MCP2594006M,Yes,35,2016
MCP2750005F,Yes,35,2010
MCP2750005F,No,35,2012
MCP3130003C,Yes,35,2018
MCP27300022,Yes,40,2018
MCP27300022,No,30,2012
MCP2930001T,Yes,5,2004
MCP2932004J,Yes,35,2006
MCP2932004J,No,35,2019
MCP2973005H,No,35,1993
MCP2973005H,No,35,2017
MCP2973005H,Yes,35,2012
MCP3276000R,Yes,25,2012
MCP3233001C,Yes,15,2001
MCP3243000P,No,35,2017
MCP3243000P,Yes,35,2015
MCP2077003M,Yes,25,2004
MCP3004003W,Yes,35,2018
DM8476001X,Yes,35,2008
DM8476001X,No,35,2013
MCP3198002R,Yes,25,2006
MCP3198002R,No,40,2002
MCP26510049,Yes,40,2013
MCP26510049,No,40,2019
MCP1212002H,Yes,25,2008
MCP23510042,Yes,35,2011
MCP23510042,No,35,2010
MCP2588008F,Yes,5,2021
MCP2588008F,No,5,2020
MCP26370040,Yes,30,2021
MCP26370040,No,30,2012
